,Unnamed: 0,Date,User,Tweet,scores,compound,comp_score
0,0,2022-10-10 21:50:31+00:00,porttada,"#Nacionales | @CEL_ElSalvador junto a @AESElSalvador reportan el  restablecimiento de energía eléctrica en:

✅ Conchagua 
✅ Caluco 
✅ Estanzuelas, Alegría, Nueva Granada y Mercedes Umaña
✅ Usulután, Jiquilisco y Puerto El Triunfo 
✅ Santiago de María, Berlín, entre otros. https://t.co/8ImlOh1cx8","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1,1,2022-10-10 21:37:02+00:00,Arturomossi1,@armandogodoy @CEL_ElSalvador @AESElSalvador 👏👏,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
2,2,2022-10-10 21:30:46+00:00,GoodFortunResSV,"#serviciosocial 
@AESElSalvador  por favor tomar nota que zona de Colonia Las Brisas y Col. Dolores en San Salvador no tienen luz desde las 7 am
😔","{'neg': 0.085, 'neu': 0.811, 'pos': 0.104, 'compound': 0.128}",0.128,pos
3,3,2022-10-10 21:30:36+00:00,CheleHdez,"@SIGETSV @AESElSalvador @TheAESCorp @AmChamSal @CNE_ELSALVADOR Señores. el poste con transformadores tiene el cartel C9616, número de NIC 5476551.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
4,4,2022-10-10 21:27:19+00:00,GladisqGladis,"@AESElSalvador Informo que la energía eléctrica ha sido restablecida.
Muchas gracias por la gestión 🙏🏻","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",0.34,pos
5,5,2022-10-10 21:25:31+00:00,armandogodoy,"La @CEL_ElSalvador junto a @AESElSalvador restablecen distribución de energía en varios puntos por #DepresionTropicalJulia 🌧️🚨

¡Aquí detalles! 👇🏻👇🏻 https://t.co/kdvLcqCnsp","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
6,6,2022-10-10 21:23:36+00:00,SIGETSV,"@CheleHdez @AESElSalvador @TheAESCorp @AmChamSal @CNE_ELSALVADOR Gracias por el reporte @CheleHdez, en estos momentos lo remitimos a la distribuidora @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
7,7,2022-10-10 21:21:00+00:00,elsalvador,"@CEL_ElSalvador @AESElSalvador #DePaís | @CEL_ElSalvador indica que de los casi 75 mil usuarios afectados por la #DepresionTropicalJulia, el 22% ya tienen nuevamente energía eléctrica. Además, dice que su personal sigue trabajando para restablecer este servicio en todos los sectores afectados. 📸: Archivo DES https://t.co/Y7XOUHSOFz","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
8,8,2022-10-10 21:17:24+00:00,elsalvador,"@CEL_ElSalvador @AESElSalvador #LoÚltimo | Así también en: 

✅ Usulután, Jiquilisco y Puerto El Triunfo (2,418 usuarios)
✅ Santiago de María, Berlín, Ozatlán, Tecapán y California (14,502 usuarios)

📸: Archivo DES/#DiarioElSalvador https://t.co/2nYLCEM9PL","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
9,9,2022-10-10 21:15:51+00:00,elsalvador,"#LoÚltimo @CEL_ElSalvador junto a @AESElSalvador han restablecido energía eléctrica en zonas afectadas por #DepresionTropicalJulia:

✅ Conchagua (3,532 usuarios)
✅ Caluco (1,571 usuarios)
✅ Estanzuelas, Alegría, Nueva Granada y Mercedes Umaña (7,752 usuarios) 

📸: Archivo DES https://t.co/HG07eNmqQc","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
10,10,2022-10-10 21:13:40+00:00,AESElSalvador,"@EdwinSn97479788 Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera, recordamos que los datos de su servicio son confidenciales.","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4019}",0.4019,pos
11,11,2022-10-10 21:12:00+00:00,AESElSalvador,"@pasitamorena Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera, recordamos que los datos de su servicio son confidenciales.","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4019}",0.4019,pos
12,12,2022-10-10 21:08:45+00:00,CheleHdez,"@AESElSalvador @TheAESCorp @SIGETSV @AmChamSal @CNE_ELSALVADOR No tenemos energía electrica desde anoche, cables reventados en el suelo. Necesitamos en la medida de lo posible nos ayuden. https://t.co/ayAsMAdUH0","{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
13,13,2022-10-10 21:06:09+00:00,AESElSalvador,"@PatriciaSandoE Muchas gracias por los datos brindados, lamentamos los inconvenientes, esperamos restablecer el servicio lo más pronto posible. Hemos reportado tu caso con el número de gestión: 3192710, nuestro personal técnico realizará las reparaciones correspondientes.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
14,14,2022-10-10 21:02:18+00:00,CEL_ElSalvador,"Agradecemos el apoyo de todo el equipo de @AESElSalvador en esta emergencia. 

A esta hora de la tarde, de los casi 75 mil usuarios afectados por #DepresionTropicalJulia, el 22% de ellos ya tienen nuevamente energía eléctrica. 

¡Seguimos trabajando! ⚡️👷🏻","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
15,15,2022-10-10 21:01:05+00:00,CEL_ElSalvador,"Junto a la empresa distribuidora  @AESElSalvador, se ha recuperado la energía en varios puntos del país, que fueron afectados por #DepresionTropicalJulia. 

A la fecha se logró restablecer: 

✅ Caluco (1,571 usuarios) 
✅ Usulutan, Jiquilisco y Puerto El Triunfo (2,418 usuarios)","{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.34}",0.34,pos
16,16,2022-10-10 21:00:29+00:00,jaimema44902047,"@SIGETSV @AESElSalvador @TheAESCorp @AmChamSal @CNE_ELSALVADOR Muchísimas gracias por su apoyo, que tengan mucho éxito profesional.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
17,17,2022-10-10 20:55:38+00:00,AESElSalvador,"@maggie_1308 Buen dìa, con mucho gusto te ayudamos a reportarlo, Por favor envìanos el NIC de tu factura en un mensaje para poder apoyarte.","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",0.4019,pos
18,18,2022-10-10 20:51:41+00:00,aquielsalvador1,"@AESElSalvador informa que más de 300 técnicos de sus empresas : AES CAESS, AES CLESA, AES EEO y AES DEUSEM están trabajando para atender las emergencias en la red, provocadas por la depresión tropical Julia, garantizando  la continuidad del servicio de energía","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
19,19,2022-10-10 20:48:58+00:00,SIGETSV,"@jaimema44902047 @AESElSalvador @TheAESCorp @AmChamSal @CNE_ELSALVADOR Gracias por el reporte @jaimema44902047, en estos momentos lo remitimos a la distribuidora @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
20,20,2022-10-10 20:43:28+00:00,AESElSalvador,"#Comunicado
Ante la depresión tropical Julia: https://t.co/lpkj9VTb7H","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
21,21,2022-10-10 20:31:15+00:00,AESElSalvador,"@SIGETSV Muchas gracias por los datos brindados, lamentamos los inconvenientes, esperamos restablecer el servicio lo más pronto posible. Hemos reportado tu caso con el número de gestión: 3192710, nuestro personal técnico realizará las reparaciones correspondientes.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
22,22,2022-10-10 20:30:05+00:00,AESElSalvador,"@ManciaNavarrete Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera, recordamos que los datos de su servicio son confidenciales.","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4019}",0.4019,pos
23,23,2022-10-10 20:27:28+00:00,SVSinNombre,"Desde las 9:30 pm de ayer no hay energía en la 99 av norte y final calle el tanque 
Colonia Escalon @alertux @AESElSalvador #TormentaTropicalJulia #climasv","{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
24,24,2022-10-10 20:27:27+00:00,EdwinSn97479788,"@ultimahsv @PNCSV Qué no debería ser @AESElSalvador  el que debería inspeccionar los daños, para ir agilizando el trabajo..?","{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
25,25,2022-10-10 20:21:00+00:00,SIGETSV,"@PatriciaSandoE @AESElSalvador Hola @AESElSalvador, solicitamos verificar el caso que menciona la usuaria @PatriciaSandoE con NIC de referencia ➡️2382774.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
26,26,2022-10-10 20:20:05+00:00,PatriciaSandoE,"@SIGETSV @AESElSalvador NIC 2382774 muchas gracias 🙏🏼 por responder, por medio de ustedes quizá @AESElSalvador me ayuda.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
27,27,2022-10-10 20:14:43+00:00,AESElSalvador,"@jesussa20491755 Queremos ayudarte a solventar tu situación. Por favor, envíanos a través de un mensaje el NIC de tu factura para poder atenderte de mejor manera, recordamos que los datos de su servicio son confidenciales.","{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.4019}",0.4019,pos
28,28,2022-10-10 20:11:54+00:00,pasitamorena,"@AESElSalvador comunidades como Vista Hermosa en San José Gualoso, San Pedro Chilanguera, Playa Las Flores del municipio de Chirilagua en el departamento de San Miguel no tienen servicio de energía eléctrica desde anoche. Pueden enviar cuadrillas a ayudar, por favor!","{'neg': 0.052, 'neu': 0.877, 'pos': 0.071, 'compound': 0.2003}",0.2003,pos
29,29,2022-10-10 20:01:21+00:00,AESElSalvador,"@GladisqGladis Hola, Es un gusto atenderte! Por favor, envíanos a través de un mensaje el NIC de tu factura para atenderte de mejor manera.","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.4574}",0.4574,pos
30,30,2022-10-10 20:01:07+00:00,SIGETSV,"@PatriciaSandoE @AESElSalvador Gracias por el reporte @PatriciaSandoE, en estos momentos lo remitimos a @AESElSalvador para verificar y solventar el inconveniente lo más pronto posible.
Puede brindarnos por este medio un número de NIC para tener más delimitada la zona afectada.

Quedamos atentos.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
31,31,2022-10-10 19:55:51+00:00,AESElSalvador,"@EuniceDiaz23 Hola, Es un gusto atenderte! Por favor, envíanos a través de un mensaje el NIC de tu factura para atenderte de mejor manera.","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.4574}",0.4574,pos
