,Unnamed: 0,Date,User,Tweet,scores,compound,comp_score
0,0,2022-10-10 21:29:33+00:00,HectorCoto11,@delsur_energia @SIGETSV @JC_Bidegain Muchas gracias,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1,1,2022-10-10 21:28:49+00:00,LaPameInforma,⚠️ @delsur_energia  ⚠️ https://t.co/2weAY7LbKr,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
2,2,2022-10-10 21:26:34+00:00,Recinos6Roc,"@delsur_energia Servicio ya restaurado, gracias!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
3,3,2022-10-10 21:22:13+00:00,javico_balam,"@delsur_energia Ya tengo Luz sobre el bulevar Sur. Muchas gracias.🙌
Hace un momento vino, gracias por el esfuerzo de la gente de Del Sur.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
4,4,2022-10-10 21:17:54+00:00,pacaya_sv,Playa El Zonte sin electricidad @delsur_energia niss 2575855 @MorenaValdezSV @nayibbukele #alexnovoa,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
5,5,2022-10-10 21:09:56+00:00,KiaCha29,"@delsur_energia a que horas echan la luz, ya basta!! https://t.co/PDGIMJsn7M","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
6,6,2022-10-10 21:08:38+00:00,Mela_WH,@delsur_energia Estamos en olocuilta,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
7,7,2022-10-10 21:07:55+00:00,Mela_WH,"@delsur_energia El número del contact center responde que ""éste número ha cambiado""
Al contactar el número de whatsapp de delsur envían respuestas automatizadas que no tienen nada que ver con la consulta.
¿Será que  las lineas de delsur fueron hackeadas?","{'neg': 0.052, 'neu': 0.892, 'pos': 0.056, 'compound': 0.0516}",0.0516,pos
8,8,2022-10-10 20:58:57+00:00,Haxo13,@delsur_energia @SIGETSV @alertux Ya ha sido restablecido . Gracias,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.34}",0.34,pos
9,9,2022-10-10 20:55:42+00:00,stelladegallard,"@delsur_energia en Bo.San Isidro Cuyultitan, no hay energía desde ayer. NIC 216593701","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
10,10,2022-10-10 20:50:29+00:00,Recinos6Roc,"@delsur_energia Igualmente en el municipio de Tapalhuaca, La Paz. Les escribí por mensaje privado con la información que pedían y ya no hubo respuesta.","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
11,11,2022-10-10 20:50:26+00:00,Gallardo_raGm,"Sin servicio de energía eléctrica, en Cuyultitán, departamento de La Paz @delsur_energia Reporté desde temprana horas la falla en el servicio y hasta el momento no he recibido respuesta. De hecho, el único número que proporcionar para reportar, se encuentra inhabilitado.","{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.7003}",-0.7003,neg
12,12,2022-10-10 20:44:49+00:00,SIGETSV,@Avelar90 @delsur_energia @alertux Gracias por notificarnos @Avelar90.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
13,13,2022-10-10 20:43:57+00:00,stelladegallard,"@delsur_energia en Bo. San Isidro, Cuyultitan no hay energía en una parte, es urgente, el único número de emergencia está inhabilitado.","{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
14,14,2022-10-10 20:43:43+00:00,Avelar90,"@delsur_energia @SIGETSV @alertux Ya se restableció el suministro, muchas gracias.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
15,15,2022-10-10 20:40:01+00:00,stelladegallard,"@delsur_energia Señores @delsur_energia en el Bo.San Isidro Cuyultitan no tenemos energía,  el único número que dan está inhabilitado, favor atener","{'neg': 0.096, 'neu': 0.786, 'pos': 0.118, 'compound': 0.128}",0.128,pos
16,16,2022-10-10 20:39:08+00:00,RauMol,@piloyguanaco @alcaldia_marcos @PROCIVILSV @delsur_energia @nayibbukele Aun no,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
17,17,2022-10-10 20:32:56+00:00,piloyguanaco,@RauMol @alcaldia_marcos @PROCIVILSV @delsur_energia @nayibbukele No hay respuesta de las autoridades???,"{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.4098}",-0.4098,neg
18,18,2022-10-10 20:31:12+00:00,Luhutova11,@TN21sv @PNCSV @Director_PNC Planes de Renderos colonia Vista al mar desde las 4 am sin energía @delsur_energia,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
19,19,2022-10-10 20:30:51+00:00,Gallardo_raGm,"Seguimos sin servicio de energía eléctrica en el municipio de Cuyultitán, departamento de La Paz @delsur_energia . Y su número de teléfono está inhabilitado.","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.5574}",-0.5574,neg
